单词原文,是否已经统一,最终翻译,曾用翻译,选择最终翻译的原因和备注,在本书出现次数,是否为专业名词,是否为头脑风暴图或词云专业名词,出现在章节
dangling pointer,,悬空指针,,,,是,是,
Deferred Reference Counting ,,延迟引用计数,,,,是,是,
dereference \ dereferencing,,,提领,,,是,是,
Dereferencing interior pointer,,,,,,是,是,
Eager Root Collection,,,激进式根回收,,,是,是,
escape analysi ,,,,,,是,是,
evaluation stack,,,evaluation stack,,,是,是,
False Sharing,是,伪共享(False Sharing),伪共享(False Sharing),,,是,是,
false-sharing,是,伪共享(False Sharing),伪共享(False Sharing),,,是,是,
fiber,,,,,,是,是,
fill pointers,,,,,,是,是,
Finalization ,,终结,终结,,,是,是,
Finalization queue,,,,,,是,是,
fixed buffer,,,,,,是,是,
free store,是,自由存储区,自由存储、空闲存储区、空闲存储,最终翻译成“自由存储区”是因为使用它可以搜到最多的相关资料,,是,是,
full Garbage Collection,,full GC,完全垃圾回收、全面、full GC,因为根据“完全垃圾回收“、”全面垃圾回收“根本搜不出相关资料，只有根据“Full GC”才能搜出相关资料,,是,是,
header,,,,,,是,是,
Indexing movable fixed buffers,,,,,,是,是,
Intero marshaler,,,,,,是,是,
memory-mapped files,,,内存映射文件,,,是,是,
Non-Concurrent,,非并发,,,,是,是,
non-unmanaged struct,,,,,,是,是,
page file、Paging file,,,页面文件、page file,,,是,是,
post-plug,,,post-plug、后置plug,,,是,是,
pre-plug,,,pre-plug、前置plug,,,是,是,
primary object ,,,,,,是,是,
provider,,provider,提供者、提供程序,因为windows中文版的ETW也保留原文没有翻译,,是,是,
Reference,,引用,,,,是,是,
Reference Counting ,,引用计数,,,,是,是,
Request,,,,,,是,,
secondary object,,,,,,是,是,
stack frame,,,堆栈帧,,,是,是,
stack machine,,,stack machine,,,是,是,
Stack Trace,,堆栈跟踪,栈跟踪,堆栈跟踪 资料最多，读起来也比“栈跟踪“顺口,,是,是,
stack walker,,,,,,是,是,
string-interning,,,字符串暂存,,,是,是,
Suppress finalization,,,,,,是,是,
swap file,,,交换文件、swap file,,,是,是,
Thread affinity,,,,,,是,是,
Thread Data Slot,,,线程数据插槽,,,是,是,
Thread Local Storage,,,线程局部存储、线程本地存储,,,是,是,
Tracking Collector ,,跟踪回收器,,,,是,是,
NET,,,,,1116,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Type,,,,,1020,,,第1章之前、第2章、第3章、第4章、第5章、第6章、第8章、第9章、第12章、第13章、第14章、第15章
Reference,,,,,767,,,第1章之前、第1章、第3章、第4章、第5章、第6章、第7章、第10章、第12章、第13章、第14章、第15章
Value,,,,,663,,,第1章之前、第3章、第4章、第6章、第7章、第11章、第12章、第13章、第14章、第15章
Allocation,,,,,642,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第10章、第11章、第15章
SIZE,,,,,626,,,第4章、第5章、第7章、第8章、第15章
T,,,,,524,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Time,,,,,520,,,第1章之前、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
int,,,,,499,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
